business_status,geometry,name,place_id,rating,types,user_ratings_total,vicinity,permanently_closed,place_type
14,OPERATIONAL,"{'location': {'lat': 20.6914859, 'lng': -105.2727059}, 'viewport': {'northeast': {'lat': 20.6928172802915, 'lng': -105.2713618197085}, 'southwest': {'lat': 20.6901193197085, 'lng': -105.2740597802915}}}",Tacos El Toro,ChIJp3wJI4JGIYQRuL6EsfEdVh4,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",45.0,"Calle Francisco Villa Oriente, Las Jarretaderas",,restaurant
15,OPERATIONAL,"{'location': {'lat': 20.6892399, 'lng': -105.2733053}, 'viewport': {'northeast': {'lat': 20.69058203029151, 'lng': -105.2719582697085}, 'southwest': {'lat': 20.6878840697085, 'lng': -105.2746562302915}}}",Mean Bean Cafe Jarretaderas,ChIJmxKR5ilEIYQR0HQ_DWRgYV8,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,"Calle Amado Nervo 213, Centro, Las Jarretaderas",,restaurant
16,OPERATIONAL,"{'location': {'lat': 20.6923358, 'lng': -105.2729162}, 'viewport': {'northeast': {'lat': 20.6936950302915, 'lng': -105.2715369697085}, 'southwest': {'lat': 20.6909970697085, 'lng': -105.2742349302915}}}","Comedor ""La Jarocha""",ChIJj4Nkho5HIYQRQj5NUfX_kjc,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Av México/Miguel H. #60, Las Jarretaderas",,restaurant
17,OPERATIONAL,"{'location': {'lat': 20.691455, 'lng': -105.2726037}, 'viewport': {'northeast': {'lat': 20.6927933802915, 'lng': -105.2712575197085}, 'southwest': {'lat': 20.69009541970849, 'lng': -105.2739554802915}}}",Taqueria Toñita,ChIJ-9S3I4JGIYQRVtyLJL1d66Q,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,"Constitución, Las Jarretaderas",,restaurant
18,OPERATIONAL,"{'location': {'lat': 20.6920437, 'lng': -105.2726681}, 'viewport': {'northeast': {'lat': 20.6933833302915, 'lng': -105.2713472697085}, 'southwest': {'lat': 20.69068536970849, 'lng': -105.2740452302915}}}",Taqueria Lupita,ChIJPZhG1W1HIYQRA1qqg4sv3nQ,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",16.0,Jarretaderas,,restaurant
19,OPERATIONAL,"{'location': {'lat': 20.6931616, 'lng': -105.2731251}, 'viewport': {'northeast': {'lat': 20.6945112302915, 'lng': -105.2717742697085}, 'southwest': {'lat': 20.6918132697085, 'lng': -105.2744722302915}}}",Santo Pollote rosticeria,ChIJi38Y2uZHIYQR75wHKt--PfM,4.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",13.0,Jarretaderas,,restaurant
20,OPERATIONAL,"{'location': {'lat': 20.6932469, 'lng': -105.2730944}, 'viewport': {'northeast': {'lat': 20.6945817802915, 'lng': -105.2717883197085}, 'southwest': {'lat': 20.6918838197085, 'lng': -105.2744862802915}}}",La Xitana Crepas,ChIJP48pLhlHIYQRUDA8Ys8VJlk,5.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"Avenida Mexico #6, Las Jarretaderas",,restaurant
21,OPERATIONAL,"{'location': {'lat': 20.6939253, 'lng': -105.2735017}, 'viewport': {'northeast': {'lat': 20.6952756802915, 'lng': -105.2721489197085}, 'southwest': {'lat': 20.6925777197085, 'lng': -105.2748468802915}}}",Loncheria la México,ChIJdSTZTu5HIYQRAA9ayjBxFho,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Avenida Mexico 240, Las Jarretaderas",,restaurant
22,OPERATIONAL,"{'location': {'lat': 20.6937536, 'lng': -105.273067}, 'viewport': {'northeast': {'lat': 20.6951116802915, 'lng': -105.2718489197085}, 'southwest': {'lat': 20.6924137197085, 'lng': -105.2745468802915}}}",Birrieria Mary,ChIJneJhMa5HIYQR582CL6HUweQ,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,Jarretaderas,,restaurant
23,OPERATIONAL,"{'location': {'lat': 20.6941587, 'lng': -105.2733974}, 'viewport': {'northeast': {'lat': 20.6954959302915, 'lng': -105.2720805697085}, 'southwest': {'lat': 20.69279796970849, 'lng': -105.2747785302915}}}",Mariscos Jony (Bertha),ChIJkZRg6oNGIYQRy5VaALJDCxE,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",50.0,"Avenida Mexico 13d, Las Jarretaderas",,restaurant
24,OPERATIONAL,"{'location': {'lat': 20.6939077, 'lng': -105.2729776}, 'viewport': {'northeast': {'lat': 20.6952062802915, 'lng': -105.2718026197085}, 'southwest': {'lat': 20.69250831970849, 'lng': -105.2745005802915}}}",Birrieria Yola,ChIJlyQfw4NGIYQRCw8Lx1cceMA,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,entrada a jarreradera,,restaurant
25,OPERATIONAL,"{'location': {'lat': 20.6913596, 'lng': -105.2805229}, 'viewport': {'northeast': {'lat': 20.6926825302915, 'lng': -105.2792391697085}, 'southwest': {'lat': 20.6899845697085, 'lng': -105.2819371302915}}}",Arriba Tequila Bar,ChIJrxVuBp1GIYQRRyBZJtxwsD0,4.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",32.0,"benito Juarez 120, Las Jarretaderas",,restaurant
26,OPERATIONAL,"{'location': {'lat': 20.6953122, 'lng': -105.2741376}, 'viewport': {'northeast': {'lat': 20.6966767302915, 'lng': -105.2727472697085}, 'southwest': {'lat': 20.6939787697085, 'lng': -105.2754452302915}}}","La Pasadita! Tacos ,pollos Asados,carnitas,birria Y Menudo!",ChIJucKtiYNGIYQRwrNVl_h4B0o,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"Av Mexico 163, Las Jarretaderas",,restaurant
27,OPERATIONAL,"{'location': {'lat': 20.6943352, 'lng': -105.2797076}, 'viewport': {'northeast': {'lat': 20.6957404302915, 'lng': -105.2784578697085}, 'southwest': {'lat': 20.69304246970849, 'lng': -105.2811558302915}}}",Tino's La Laguna,ChIJ_____wNEIYQRSUDjxUAFg6c,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1286.0,"Boulevard de Nayarit #393, Nuevo Vallarta",,restaurant
