rating_x,user_ratings_total_x,num_restaurants,rest_mean_rating,num_bars,bars_mean_rating,num_art_galleries,art_gallery_mean_rating,num_gyms,gyms_mean_rating,num_shopping,shopping_mean_rating,num_tourist_attract,tourist_mean_rating,num_casinos,num_supermarkets,supermarkets_mean_rating
0,4.6,8.0,48,4.594117647058823,4,4.5,0,4.76062109252212,3,4.466666666666666,7,4.42,2,4.65,0,2,3.85
1,5.0,1.0,38,4.523076923076923,3,4.5,0,4.76062109252212,1,4.3,4,4.3,0,4.589234597010132,0,2,3.85
2,4.0,54.0,48,4.594117647058823,4,4.5,0,4.76062109252212,3,4.466666666666666,6,4.325,2,4.65,0,2,3.85
3,3.9,11.0,60,4.586363636363637,25,4.386363636363637,4,4.8,25,4.678947368421052,5,4.75,0,4.589234597010132,0,7,4.775
4,4.8,11.0,60,4.586666666666667,17,4.3199999999999985,4,4.8,19,4.653333333333333,4,5.0,0,4.589234597010132,0,6,4.775
5,4.4,30.0,60,4.491304347826087,20,4.5,1,4.76062109252212,24,4.655555555555555,4,4.833333333333333,0,4.589234597010132,0,6,4.55
6,3.8,75.0,60,4.61860465116279,16,4.335714285714285,4,4.8,15,4.6000000000000005,3,5.0,0,4.589234597010132,0,6,4.7
7,3.9,140.0,60,4.546666666666667,15,4.408333333333334,1,4.76062109252212,20,4.50625,4,4.75,0,4.589234597010132,0,7,4.75
8,4.8,4.0,60,4.535555555555557,7,4.825,1,4.76062109252212,10,4.5125,3,5.0,0,4.589234597010132,0,6,4.62
9,4.5,19.0,60,4.522,15,4.673333333333333,0,4.76062109252212,12,4.6875,9,4.55,0,4.589234597010132,0,5,4.75
10,4.3,4.0,60,4.5673469387755095,17,4.54,1,4.76062109252212,19,4.771428571428572,10,4.49,0,4.589234597010132,0,4,4.733333333333333
11,4.8,5.0,60,4.480357142857144,14,4.627272727272726,0,4.76062109252212,12,4.775,6,4.38,2,4.5,0,6,4.26
12,3.7,53.0,60,4.365384615384615,28,4.323076923076924,0,4.76062109252212,12,3.9625,9,4.4714285714285715,2,4.0,1,10,4.571428571428571
13,4.4,78.0,60,4.268627450980392,33,4.37,0,4.76062109252212,13,4.2,11,4.228571428571429,2,4.0,0,5,4.7
14,3.9,85.0,60,4.380769230769231,31,4.371428571428571,0,4.76062109252212,14,4.222222222222221,12,4.1875,2,4.0,1,6,4.7
15,4.0,237.0,60,4.418867924528302,34,4.33,0,4.76062109252212,15,4.1909090909090905,10,4.333333333333333,2,4.0,1,9,4.616666666666666
16,3.9,7.0,60,4.283999999999999,19,4.270588235294118,0,4.76062109252212,15,4.288888888888889,10,4.4714285714285715,4,4.25,1,8,4.2
17,3.9,97.0,60,4.375925925925927,30,4.3,0,4.76062109252212,18,4.378571428571428,11,4.114285714285715,2,4.0,0,9,4.566666666666666
18,3.7,82.0,60,4.344680851063829,24,4.480952380952381,0,4.76062109252212,12,4.619999999999999,10,4.233333333333333,1,4.589234597010132,0,4,5.0
19,4.0,242.0,60,4.338775510204082,31,4.428571428571429,0,4.76062109252212,14,4.372727272727273,10,4.342857142857143,1,4.589234597010132,0,4,5.0
20,3.8,4.0,60,4.375000000000001,30,4.466666666666667,0,4.76062109252212,14,4.372727272727273,10,4.233333333333333,1,4.589234597010132,0,4,5.0
21,3.7,3.0,60,4.375000000000001,30,4.466666666666667,0,4.76062109252212,14,4.372727272727273,10,4.233333333333333,1,4.589234597010132,0,4,5.0
22,4.3,1454.0,60,4.409259259259258,21,4.411111111111111,3,4.699999999999998,10,4.82,8,4.5,1,4.6,1,3,4.4
